epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,4487.5,1.56833,1.11109,1.22043,0.68765,0.55531,0.57766,0.25716,2.01107,1.70745,1.44473,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,4806.85,1.53959,1.07893,1.20558,0.68484,0.55624,0.57895,0.25807,2.00984,1.69864,1.44304,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,5126.2,1.5477,1.07626,1.20717,0.68267,0.55666,0.57893,0.259,2.00774,1.6936,1.44015,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,5447.1,1.55019,1.07323,1.2028,0.68655,0.55253,0.5772,0.25974,2.00794,1.68391,1.43906,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,5767.11,1.52375,1.04897,1.1939,0.68678,0.55852,0.57764,0.26046,2.00636,1.67549,1.43762,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,6057.01,1.45611,0.88765,1.18144,0.68312,0.56182,0.58071,0.26127,2.00568,1.67068,1.43654,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,6346.42,1.42485,0.8482,1.16078,0.68487,0.56368,0.58439,0.26273,2.006,1.66486,1.43581,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,6636.07,1.40456,0.83938,1.15389,0.69633,0.55407,0.5829,0.26223,2.00179,1.66508,1.4311,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,6924.61,1.39058,0.82041,1.14411,0.69548,0.56151,0.58506,0.26371,2.00027,1.66207,1.42797,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,7215.1,1.38123,0.81333,1.14455,0.69062,0.56244,0.58505,0.26515,1.99825,1.65888,1.42691,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,7504.02,1.34723,0.78749,1.11924,0.69372,0.5608,0.58583,0.26625,1.9954,1.65766,1.425,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,7793.24,1.33902,0.77926,1.1163,0.69354,0.56151,0.58656,0.26736,1.99598,1.65556,1.42439,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,8081.68,1.33333,0.77017,1.10784,0.69353,0.56337,0.58717,0.26891,1.99452,1.65097,1.42475,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,8370.24,1.31475,0.75991,1.10866,0.6949,0.56182,0.59004,0.27204,1.99165,1.65218,1.42282,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,8658.97,1.30866,0.75188,1.10455,0.70639,0.55841,0.59114,0.27275,1.98933,1.65023,1.42174,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,8947.38,1.30009,0.74859,1.10135,0.70352,0.56058,0.59148,0.27441,1.98887,1.64621,1.4218,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,9236.62,1.28123,0.73429,1.09564,0.71064,0.5581,0.59179,0.27445,1.98717,1.64413,1.4211,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,9526.1,1.27154,0.72583,1.08733,0.69776,0.5612,0.59216,0.27525,1.98771,1.64078,1.42122,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,289.842,1.36289,0.7999,1.13215,0.69774,0.56182,0.59056,0.2741,1.98814,1.64156,1.42213,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,578.953,1.35123,0.78815,1.12962,0.7135,0.55407,0.5903,0.27386,1.98755,1.64108,1.42121,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
